uzem	id	d_proba_N	d_proba_hibaN	abrasor	abraanalogia	kezugyesseg_vonal	kezugyesseg_pont
Tapolca	t208	417	27	10	9	0,925	0,833
Tapolca	t209	598	168	2	1		0,765
Tapolca	t210	148	13	6	6	0,707	0,789
Tapolca	t211	504	162	4	2	0,912	0,794
Tapolca	t212	584	5	6	10	0,978	0,913
Tapolca	t213	477	115	9	8	0,878	0,933
Tapolca	t214	448	36	8	10	0,956	0,778
Tapolca	t215	360	63	3	6	0,927	0,935
Tapolca	t216	429	75	7	5	0,939	0,975
Tapolca	t217	451	23	5	9	1,000	0,942
Tapolca	t218	442	33	6	8	0,844	0,923
Tapolca	t219	488	157	6	7	0,844	0,713
Tapolca	t220	548	102	4	7	0,796	0,941
Tapolca	t221	511	62	8	7	0,963	0,782
Tapolca	t222	299	22	5	8	0,900	0,816
Tapolca	t223	555	42	10	10	0,976	0,911
Tapolca	t224	534	40	5	9	0,950	0,901
Tapolca	t225	426	26	10	9	0,786	0,830
Tapolca	t226	419	31	8	8	0,953	0,867
Tapolca	t227	586	31	8	7	0,938	0,926
Tapolca	t228	637	41	5	7	0,843	0,616
Tapolca	t229	405	32	6	7	0,911	0,855
Tapolca	t230	582	65	7	8	0,922	0,859
Tapolca	t231	502	79	2	2	0,914	0,937
Tapolca	t232	489	37	4	5	0,960	0,805
Tapolca	t233	484	114	9	9	0,903	0,836
Tapolca	t234	495	27	8	10	0,956	0,831
Tapolca	t235	218	73	1	2	0,640	0,381
Tapolca	t236	221	70	2	3	0,867	0,675
Tapolca	t237	618	123	6	9	0,929	0,967
Tapolca	t238	342	103	5	9	0,982	0,800
Tapolca	t239	409	71	4	7	0,844	0,756
Tapolca	t240	402	138	3	5	0,950	0,560
Tapolca	t241			0	2	0,600	0,933
Tapolca	t242	283	133	1	2	0,800	0,781
Tapolca	t243	357	63	3	2	0,867	0,895
Tapolca	t244	304	29	7	8	0,979	0,988
Tapolca	t245	609	139	8	9	0,800	0,857
Tapolca	t246	633	86	9	8	0,922	0,989
Tapolca	t247	651	85	9	9	0,878	0,911
Tapolca	t248	537	183	9	8	0,853	0,822
